low_cut,high_cut,logmode,min_val,max_val,AUC
10,40,False,0.5444444444444444,1.411111111111111,0.7757440476190476
10,40,False,0.5444444444444444,1.5,0.7757440476190476
10,40,False,0.6,0.7,0.7736607142857144
10,40,False,0.6,0.7888888888888889,0.7916666666666666
10,40,False,0.6,0.8777777777777778,0.7776785714285714
10,40,False,0.6,0.9666666666666666,0.7760416666666667
10,40,False,0.6,1.0555555555555556,0.7755952380952381
10,40,False,0.6,1.1444444444444444,0.7755952380952381
10,40,False,0.6,1.2333333333333334,0.7755952380952381
10,40,False,0.6,1.3222222222222222,0.7755952380952381
10,40,False,0.6,1.411111111111111,0.7755952380952381
10,40,False,0.6,1.5,0.7755952380952381
10,40,True,0.1,0.7,0.5
10,40,True,0.1,0.7888888888888889,0.5
10,40,True,0.1,0.8777777777777778,0.5
